filename,width,height,class,xmin,ymin,xmax,ymax
0.jpg,640,480,missingPerson,64,231,216,311
1.subject-redfox.jpg,1920,960,fox,392,98,1705,960
1._104458152_nov23-foxhuntjimfeng.jpg,660,371,fox,148,57,660,318
10.91rBwL0AdQL._SL1500_.jpg,1500,1500,fox,491,456,1236,1429
10.Red-Fox-Beverly-Davis-Blog-1600x1000-1024x640.png,1024,640,fox,427,2,903,640
10.jpg,640,480,missingPerson,72,97,151,160
100.jpg,640,480,missingPerson,328,378,354,423
100.jpg,640,480,fox,416,408,439,457
101.jpg,640,480,missingPerson,311,360,339,407
101.jpg,640,480,fox,401,395,424,445
102.jpg,640,480,missingPerson,291,351,320,393
102.jpg,640,480,missingPerson,103,439,140,480
102.jpg,640,480,fox,387,381,407,432
103.jpg,640,480,missingPerson,280,340,300,379
103.jpg,640,480,missingPerson,83,430,123,471
103.jpg,640,480,fox,372,370,392,418
104.jpg,640,480,missingPerson,261,320,286,360
104.jpg,640,480,missingPerson,66,413,108,468
104.jpg,640,480,missingPerson,208,451,234,480
104.jpg,640,480,fox,353,354,375,405
105.jpg,640,480,missingPerson,244,306,271,347
105.jpg,640,480,missingPerson,47,403,96,451
105.jpg,640,480,missingPerson,189,436,224,480
105.jpg,640,480,fox,341,340,359,391
106.jpg,640,480,missingPerson,224,297,255,333
106.jpg,640,480,missingPerson,29,392,77,439
106.jpg,640,480,missingPerson,169,426,210,480
106.jpg,640,480,fox,325,325,343,380
107.jpg,640,480,missingPerson,206,287,238,322
107.jpg,640,480,missingPerson,14,384,65,428
107.jpg,640,480,missingPerson,150,414,189,467
107.jpg,640,480,fox,310,312,328,367
108.jpg,640,480,missingPerson,187,271,224,304
108.jpg,640,480,missingPerson,1,374,51,414
108.jpg,640,480,missingPerson,132,399,172,448
108.jpg,640,480,fox,294,297,312,353
109.jpg,640,480,missingPerson,169,253,215,290
109.jpg,640,480,missingPerson,113,380,161,435
109.jpg,640,480,fox,278,285,295,339
11.fbfee771ca14e269bcd28c575c8b7063.jpg,450,645,fox,137,44,412,571
11.jpg,640,480,missingPerson,103,126,172,181
11.jpg,640,480,missingPerson,200,1,249,55
110.jpg,640,480,missingPerson,175,217,218,255
110.jpg,640,480,missingPerson,123,345,168,391
110.jpg,640,480,missingPerson,1,322,52,362
110.jpg,640,480,fox,282,249,300,298
110.jpg,640,480,fox,62,451,87,480
111.jpg,640,480,missingPerson,173,193,216,225
111.jpg,640,480,missingPerson,123,322,168,366
111.jpg,640,480,missingPerson,1,302,49,331
111.jpg,640,480,fox,283,220,300,271
111.jpg,640,480,fox,65,426,87,471
112.jpg,640,480,missingPerson,195,180,233,211
112.jpg,640,480,missingPerson,138,316,184,351
112.jpg,640,480,missingPerson,14,289,64,322
112.jpg,640,480,fox,302,206,323,261
112.jpg,640,480,fox,79,419,102,464
113.jpg,640,480,missingPerson,209,161,248,199
113.jpg,640,480,missingPerson,148,304,197,342
113.jpg,640,480,missingPerson,15,277,72,314
113.jpg,640,480,fox,318,195,342,250
113.jpg,640,480,fox,84,417,111,461
114.jpg,640,480,missingPerson,222,143,262,183
114.jpg,640,480,missingPerson,165,290,209,333
114.jpg,640,480,missingPerson,22,265,82,300
114.jpg,640,480,fox,336,175,357,227
114.jpg,640,480,fox,96,406,121,452
115.jpg,640,480,missingPerson,240,119,271,165
115.jpg,640,480,missingPerson,174,278,223,313
115.jpg,640,480,missingPerson,30,255,85,283
115.jpg,640,480,fox,350,155,376,209
115.jpg,640,480,fox,102,391,131,442
116.jpg,640,480,missingPerson,254,94,287,141
116.jpg,640,480,missingPerson,191,259,226,296
116.jpg,640,480,missingPerson,38,242,95,266
116.jpg,640,480,fox,368,135,393,193
116.jpg,640,480,fox,113,381,140,434
117.jpg,640,480,missingPerson,274,70,306,121
117.jpg,640,480,missingPerson,209,240,241,281
117.jpg,640,480,missingPerson,53,224,109,251
117.jpg,640,480,fox,382,118,411,173
117.jpg,640,480,fox,128,366,156,416
118.jpg,640,480,missingPerson,292,49,323,114
118.jpg,640,480,missingPerson,69,210,123,241
118.jpg,640,480,missingPerson,226,227,264,265
118.jpg,640,480,fox,403,96,430,151
118.jpg,640,480,fox,141,349,168,400
119.jpg,640,480,missingPerson,307,26,335,89
119.jpg,640,480,missingPerson,86,190,134,222
119.jpg,640,480,missingPerson,243,213,275,247
119.jpg,640,480,fox,420,76,446,131
119.jpg,640,480,fox,156,336,181,382
12.689e275ec715a15ece3cb5ce9b22772d.jpg,450,699,fox,5,93,415,547
12.jpg,640,480,missingPerson,128,150,194,189
12.jpg,640,480,missingPerson,223,2,266,69
120.jpg,640,480,missingPerson,325,5,355,63
120.jpg,640,480,missingPerson,98,173,141,205
120.jpg,640,480,missingPerson,256,192,289,228
120.jpg,640,480,fox,435,55,464,114
120.jpg,640,480,fox,170,320,196,368
121.jpg,640,480,missingPerson,339,1,369,50
121.jpg,640,480,missingPerson,113,156,152,189
121.jpg,640,480,missingPerson,273,173,308,209
121.jpg,640,480,fox,454,36,483,92
121.jpg,640,480,fox,184,305,210,351
122.jpg,640,480,missingPerson,125,144,171,182
122.jpg,640,480,missingPerson,293,153,327,190
122.jpg,640,480,fox,470,14,503,69
122.jpg,640,480,fox,198,285,225,333
123.jpg,640,480,missingPerson,137,127,179,160
123.jpg,640,480,missingPerson,312,132,341,171
123.jpg,640,480,fox,489,1,521,52
123.jpg,640,480,fox,215,268,240,319
124.jpg,640,480,missingPerson,152,109,194,142
124.jpg,640,480,missingPerson,328,111,355,155
124.jpg,640,480,fox,229,250,254,302
124.jpg,640,480,fox,503,1,533,30
125.jpg,640,480,missingPerson,168,89,209,127
125.jpg,640,480,missingPerson,339,88,371,136
125.jpg,640,480,fox,247,234,266,284
126.jpg,640,480,missingPerson,357,69,394,124
126.jpg,640,480,missingPerson,184,72,228,113
126.jpg,640,480,missingPerson,11,421,81,480
126.jpg,640,480,fox,259,218,285,269
127.jpg,640,480,missingPerson,376,41,407,105
127.jpg,640,480,missingPerson,199,51,238,96
127.jpg,640,480,missingPerson,28,405,93,472
127.jpg,640,480,fox,274,200,298,255
128.jpg,640,480,missingPerson,391,15,428,79
128.jpg,640,480,missingPerson,215,28,247,76
128.jpg,640,480,missingPerson,38,401,111,457
128.jpg,640,480,fox,289,185,311,237
129.jpg,640,480,missingPerson,399,1,446,58
129.jpg,640,480,missingPerson,229,9,264,67
129.jpg,640,480,missingPerson,63,379,125,437
129.jpg,640,480,fox,308,165,326,218
13.14782_main_v17_tp.jpg,600,600,fox,58,99,533,441
13.red-fox_thumb.JPG,2048,2048,fox,16,2,1722,2048
13.jpg,640,480,missingPerson,162,174,212,208
