filename,width,height,class,xmin,ymin,xmax,ymax
hanam232.jpg,640,480,fox,229,361,278,383
hanam213.jpg,640,480,missingPerson,88,78,139,123
hanam20.jpg,640,480,fox,386,166,426,189
293.jpg,640,480,missingPerson,39,395,89,437
hanam163.jpg,640,480,fox,504,359,534,389
178.jpg,640,480,missingPerson,456,228,528,272
123.jpg,640,480,fox,489,1,521,52
135.jpg,640,480,missingPerson,213,352,250,409
hanam77.jpg,640,480,missingPerson,317,184,339,217
20.CvAoGwvWcAAMqRz.jpg,1200,900,fox,277,198,1200,888
333.jpg,640,480,missingPerson,57,347,116,387
102.jpg,640,480,fox,387,381,407,432
333.jpg,640,480,fox,621,317,640,376
336.jpg,640,480,missingPerson,99,396,153,443
hanam71.jpg,640,480,missingPerson,22,96,82,134
hanam218.jpg,640,480,fox,222,17,264,38
147.jpg,640,480,missingPerson,565,176,632,219
hanam147.jpg,640,480,missingPerson,327,82,349,132
hanam220.jpg,640,480,missingPerson,29,131,89,172
112.jpg,640,480,missingPerson,138,316,184,351
143.jpg,640,480,missingPerson,61,124,122,165
321.jpg,640,480,missingPerson,148,331,204,370
145.jpg,640,480,missingPerson,67,356,123,395
210.jpg,640,480,missingPerson,327,302,355,342
2_44.jpg,640,480,missingPerson,6,289,65,319
296.jpg,640,480,fox,290,296,309,342
25.sei_25179316-552b-e1534149278811.jpg,540,418,fox,47,10,315,380
300.jpg,640,480,fox,66,409,91,451
321.jpg,640,480,fox,399,113,420,167
hanam16.jpg,640,480,missingPerson,353,98,382,146
hanam303.jpg,640,480,fox,487,371,517,402
209.jpg,640,480,missingPerson,391,170,426,213
228.jpg,640,480,missingPerson,393,338,425,377
302.jpg,640,480,fox,338,178,360,234
178.jpg,640,480,missingPerson,256,209,291,245
336.jpg,640,480,missingPerson,146,189,193,229
hanam141.jpg,640,480,missingPerson,16,76,79,124
35.jpg,640,480,missingPerson,172,264,203,289
hanam154.jpg,640,480,missingPerson,349,282,375,306
100.jpg,640,480,missingPerson,328,378,354,423
hanam289.jpg,640,480,missingPerson,422,88,454,126
342.jpg,640,480,missingPerson,414,252,465,280
117.jpg,640,480,missingPerson,53,224,109,251
hanam291.jpg,640,480,missingPerson,277,369,305,424
240.jpg,640,480,missingPerson,472,363,524,410
139.jpg,640,480,fox,512,196,535,255
11.jpg,640,480,missingPerson,200,1,249,55
330.jpg,640,480,fox,567,260,595,320
hanam22.jpg,640,480,fox,376,308,412,330
173.jpg,640,480,missingPerson,549,250,640,306
41.f05857d6-52e7-4b1a-af5d-05cdd9793320-large16x9_GettyImages1028457930.jpg,985,554,fox,106,68,743,472
106.jpg,640,480,missingPerson,29,392,77,439
71.maxresdefault.jpg,1280,720,fox,937,449,1227,671
27.jpg,640,480,missingPerson,198,155,235,192
110.jpg,640,480,fox,62,451,87,480
297.jpg,640,480,missingPerson,173,248,208,277
333.jpg,640,480,missingPerson,97,142,157,186
37.jpg,640,480,missingPerson,376,313,406,346
337.jpg,640,480,missingPerson,117,412,166,463
