filename,width,height,class,xmin,ymin,xmax,ymax
102.jpg,640,480,missingPerson,103,439,140,480
LandscapeMap.0206.jpg,640,480,missingPerson,368,340,425,383
hanam219.jpg,640,480,missingPerson,43,61,98,106
138.jpg,640,480,missingPerson,410,29,446,84
hanam78.jpg,640,480,missingPerson,42,90,97,138
232.jpg,640,480,missingPerson,308,382,335,422
225.jpg,640,480,missingPerson,177,262,207,290
hanam287.jpg,640,480,missingPerson,354,94,377,138
hanam285.jpg,640,480,missingPerson,223,83,257,125
LandscapeMap.0009.jpg,640,480,missingPerson,212,253,252,286
36.jpg,640,480,missingPerson,357,297,385,330
13.jpg,640,480,missingPerson,162,174,212,208
117.jpg,640,480,missingPerson,209,240,241,281
231.jpg,640,480,missingPerson,443,390,484,437
334.jpg,640,480,missingPerson,363,58,391,117
29.jpg,640,480,missingPerson,73,167,117,197
240.jpg,640,480,missingPerson,472,363,524,410
218.jpg,640,480,missingPerson,556,335,628,387
2_44.jpg,640,480,missingPerson,6,289,65,319
LandscapeMap.0138.jpg,640,480,missingPerson,213,231,252,270
145.jpg,640,480,missingPerson,336,41,360,100
185.jpg,640,480,missingPerson,58,349,126,402
LandscapeMap.0038.jpg,640,480,missingPerson,371,247,400,282
LandscapeMap.0050.jpg,640,480,missingPerson,383,182,431,220
98.jpg,640,480,missingPerson,356,400,386,445
150.jpg,640,480,missingPerson,183,230,232,272
338.jpg,640,480,missingPerson,431,134,477,172
129.jpg,640,480,missingPerson,63,379,125,437
100.jpg,640,480,missingPerson,328,378,354,423
128.jpg,640,480,missingPerson,38,401,111,457
LandscapeMap.0099.jpg,640,480,missingPerson,335,138,376,176
327.jpg,640,480,missingPerson,436,51,473,94
33.jpg,640,480,missingPerson,137,231,172,254
hanam224.jpg,640,480,missingPerson,346,284,372,307
214.jpg,640,480,missingPerson,482,260,537,300
LandscapeMap.0211.jpg,640,480,missingPerson,408,332,469,373
30.jpg,640,480,missingPerson,87,181,129,210
298.jpg,640,480,missingPerson,118,337,167,377
321.jpg,640,480,missingPerson,148,331,204,370
156.jpg,640,480,missingPerson,386,277,421,309
133.jpg,640,480,missingPerson,160,331,204,380
313.jpg,640,480,missingPerson,177,81,214,118
323.jpg,640,480,missingPerson,376,1,400,39
230.jpg,640,480,missingPerson,427,373,466,420
174.jpg,640,480,missingPerson,465,382,533,459
306.jpg,640,480,missingPerson,298,46,325,101
171.jpg,640,480,missingPerson,590,290,640,329
142.jpg,640,480,missingPerson,477,93,524,138
184.jpg,640,480,missingPerson,55,390,126,449
224.jpg,640,480,missingPerson,159,244,195,275
218.jpg,640,480,missingPerson,67,143,115,173
223.jpg,640,480,missingPerson,302,255,328,281
175.jpg,640,480,missingPerson,555,159,640,199
hanam219.jpg,640,480,missingPerson,364,1,392,50
LandscapeMap.0044.jpg,640,480,missingPerson,288,347,324,383
hanam292.jpg,640,480,missingPerson,420,254,459,279
LandscapeMap.0148.jpg,640,480,missingPerson,209,239,250,282
31.jpg,640,480,missingPerson,283,1,326,56
231.jpg,640,480,missingPerson,289,381,315,411
323.jpg,640,480,missingPerson,198,347,245,402
224.jpg,640,480,missingPerson,323,273,350,303
12.jpg,640,480,missingPerson,223,2,266,69
118.jpg,640,480,missingPerson,69,210,123,241
219.jpg,640,480,missingPerson,87,39,125,76
150.jpg,640,480,missingPerson,426,123,467,171
158.jpg,640,480,missingPerson,80,414,145,479
103.jpg,640,480,missingPerson,280,340,300,379
113.jpg,640,480,missingPerson,148,304,197,342
137.jpg,640,480,missingPerson,392,14,424,66
315.jpg,640,480,missingPerson,210,47,246,95
130.jpg,640,480,missingPerson,244,1,276,48
332.jpg,640,480,missingPerson,82,125,140,169
147.jpg,640,480,missingPerson,102,384,153,432
129.jpg,640,480,missingPerson,229,9,264,67
123.jpg,640,480,missingPerson,312,132,341,171
146.jpg,640,480,missingPerson,84,370,136,415
22.jpg,640,480,missingPerson,436,217,473,255
316.jpg,640,480,missingPerson,225,22,257,76
LandscapeMap.0100.jpg,640,480,missingPerson,328,137,368,178
325.jpg,640,480,missingPerson,582,23,640,74
108.jpg,640,480,missingPerson,132,399,172,448
178.jpg,640,480,missingPerson,555,1,640,79
330.jpg,640,480,missingPerson,491,101,536,140
304.jpg,640,480,missingPerson,264,93,297,137
150.jpg,640,480,missingPerson,149,434,194,480
38.jpg,640,480,missingPerson,230,316,256,347
332.jpg,640,480,missingPerson,43,328,102,369
303.jpg,640,480,missingPerson,28,239,90,269
305.jpg,640,480,missingPerson,205,242,242,269
322.jpg,640,480,missingPerson,188,329,236,370
LandscapeMap.0005.jpg,640,480,missingPerson,292,227,325,272
329.jpg,640,480,missingPerson,1,284,62,313
331.jpg,640,480,missingPerson,26,315,88,348
289.jpg,640,480,missingPerson,102,447,141,480
309.jpg,640,480,missingPerson,113,148,159,180
hanam291.jpg,640,480,missingPerson,4,182,71,213
hanam294.jpg,640,480,missingPerson,416,396,451,442
216.jpg,640,480,missingPerson,33,109,88,146
149.jpg,640,480,missingPerson,133,417,179,474
302.jpg,640,480,missingPerson,19,252,82,280
LandscapeMap.0045.jpg,640,480,missingPerson,294,348,334,385
LandscapeMap.0237.jpg,640,480,missingPerson,421,141,482,188
233.jpg,640,480,missingPerson,457,406,503,452
19.jpg,640,480,missingPerson,375,161,414,206
111.jpg,640,480,missingPerson,1,302,49,331
145.jpg,640,480,missingPerson,67,356,123,395
hanam221.jpg,640,480,missingPerson,283,370,311,427
222.jpg,640,480,missingPerson,313,11,366,69
329.jpg,640,480,missingPerson,278,1,305,40
14.jpg,640,480,missingPerson,188,192,228,235
hanam151.jpg,640,480,missingPerson,416,187,453,215
198.jpg,640,480,missingPerson,54,55,131,120
301.jpg,640,480,missingPerson,139,297,191,339
hanam147.jpg,640,480,missingPerson,327,82,349,132
hanam286.jpg,640,480,missingPerson,285,85,312,130
351.jpg,640,480,missingPerson,253,408,286,472
26.jpg,640,480,missingPerson,176,140,216,176
244.jpg,640,480,missingPerson,402,418,446,475
333.jpg,640,480,missingPerson,533,157,601,201
LandscapeMap.0026.jpg,640,480,missingPerson,216,305,253,350
110.jpg,640,480,missingPerson,123,345,168,391
LandscapeMap.0243.jpg,640,480,missingPerson,374,131,431,178
192.jpg,640,480,missingPerson,32,66,112,118
183.jpg,640,480,missingPerson,251,10,286,62
296.jpg,640,480,missingPerson,125,387,168,435
228.jpg,640,480,missingPerson,232,317,262,349
312.jpg,640,480,missingPerson,334,111,362,157
LandscapeMap.0004.jpg,640,480,missingPerson,291,226,326,269
291.jpg,640,480,missingPerson,272,330,296,370
326.jpg,640,480,missingPerson,1,34,57,82
109.jpg,640,480,missingPerson,113,380,161,435
hanam16.jpg,640,480,missingPerson,353,98,382,146
180.jpg,640,480,missingPerson,255,129,292,165
156.jpg,640,480,missingPerson,129,377,178,422
39.jpg,640,480,missingPerson,246,333,277,367
hanam154.jpg,640,480,missingPerson,349,282,375,306
310.jpg,640,480,missingPerson,129,131,179,164
143.jpg,640,480,missingPerson,487,112,548,154
27.jpg,640,480,missingPerson,455,403,507,469
216.jpg,640,480,missingPerson,39,1,81,33
219.jpg,640,480,missingPerson,82,159,129,190
