filename,width,height,class,xmin,ymin,xmax,ymax
LandscapeMap.0016.jpg,640,480,missingPerson,301,244,335,284
345.jpg,640,480,missingPerson,368,303,405,334
LandscapeMap.0037.jpg,640,480,missingPerson,364,250,397,285
104.jpg,640,480,missingPerson,261,320,286,360
155.jpg,640,480,missingPerson,399,256,439,291
LandscapeMap.0229.jpg,640,480,missingPerson,447,197,510,239
326.jpg,640,480,missingPerson,421,33,455,79
hanam85.jpg,640,480,missingPerson,349,419,383,470
121.jpg,640,480,missingPerson,113,156,152,189
121.jpg,640,480,missingPerson,339,1,369,50
hanam16.jpg,640,480,missingPerson,353,98,382,146
114.jpg,640,480,missingPerson,165,290,209,333
2_40.jpg,640,480,missingPerson,219,57,258,113
hanam224.jpg,640,480,missingPerson,415,389,449,431
311.jpg,640,480,missingPerson,315,130,345,177
40.jpg,640,480,missingPerson,429,360,470,410
320.jpg,640,480,missingPerson,104,316,158,368
LandscapeMap.0206.jpg,640,480,missingPerson,368,340,425,383
329.jpg,640,480,missingPerson,278,1,305,40
LandscapeMap.0026.jpg,640,480,missingPerson,216,305,253,350
hanam221.jpg,640,480,missingPerson,431,196,467,219
hanam18.jpg,640,480,missingPerson,474,269,519,293
312.jpg,640,480,missingPerson,159,98,202,135
LandscapeMap.0066.jpg,640,480,missingPerson,441,308,489,343
284.jpg,640,480,missingPerson,372,426,406,476
136.jpg,640,480,missingPerson,230,382,266,436
33.jpg,640,480,missingPerson,297,248,326,274
241.jpg,640,480,missingPerson,457,383,511,429
hanam218.jpg,640,480,missingPerson,319,184,343,219
LandscapeMap.0055.jpg,640,480,missingPerson,391,149,427,190
325.jpg,640,480,missingPerson,407,16,437,77
114.jpg,640,480,missingPerson,222,143,262,183
129.jpg,640,480,missingPerson,229,9,264,67
2_38.jpg,640,480,missingPerson,145,17,193,83
107.jpg,640,480,missingPerson,150,414,189,467
144.jpg,640,480,missingPerson,317,26,346,83
LandscapeMap.0100.jpg,640,480,missingPerson,328,137,368,178
LandscapeMap.0024.jpg,640,480,missingPerson,323,256,358,304
hanam222.jpg,640,480,missingPerson,355,153,382,186
319.jpg,640,480,missingPerson,85,330,145,384
LandscapeMap.0041.jpg,640,480,missingPerson,271,346,305,389
333.jpg,640,480,missingPerson,343,42,371,100
LandscapeMap.0065.jpg,640,480,missingPerson,435,316,482,347
219.jpg,640,480,missingPerson,82,159,129,190
172.jpg,640,480,missingPerson,11,321,83,362
297.jpg,640,480,missingPerson,1,340,33,370
213.jpg,640,480,missingPerson,465,247,516,278
132.jpg,640,480,missingPerson,116,335,169,381
216.jpg,640,480,missingPerson,39,1,81,33
145.jpg,640,480,missingPerson,67,356,123,395
LandscapeMap.0046.jpg,640,480,missingPerson,301,346,339,384
LandscapeMap.0039.jpg,640,480,missingPerson,258,344,292,388
125.jpg,640,480,missingPerson,339,88,371,136
341.jpg,640,480,missingPerson,441,236,492,267
173.jpg,640,480,missingPerson,464,424,520,480
hanam219.jpg,640,480,missingPerson,423,73,452,113
109.jpg,640,480,missingPerson,169,253,215,290
LandscapeMap.0006.jpg,640,480,missingPerson,290,227,327,277
147.jpg,640,480,missingPerson,372,75,402,129
318.jpg,640,480,missingPerson,66,352,131,405
2_44.jpg,640,480,missingPerson,326,112,350,154
181.jpg,640,480,missingPerson,451,96,517,150
323.jpg,640,480,missingPerson,376,1,400,39
218.jpg,640,480,missingPerson,556,335,628,387
313.jpg,640,480,missingPerson,1,436,56,479
171.jpg,640,480,missingPerson,37,338,106,384
hanam213.jpg,640,480,missingPerson,88,78,139,123
301.jpg,640,480,missingPerson,11,272,72,293
102.jpg,640,480,missingPerson,291,351,320,393
328.jpg,640,480,missingPerson,14,62,85,111
hanam19.jpg,640,480,missingPerson,476,334,524,367
145.jpg,640,480,missingPerson,535,141,592,180
127.jpg,640,480,missingPerson,376,41,407,105
212.jpg,640,480,missingPerson,439,223,488,260
176.jpg,640,480,missingPerson,560,106,640,157
LandscapeMap.0025.jpg,640,480,missingPerson,216,299,253,346
hanam289.jpg,640,480,missingPerson,300,241,326,276
hanam20.jpg,640,480,missingPerson,473,397,521,437
143.jpg,640,480,missingPerson,298,8,323,68
8.jpg,640,480,missingPerson,1,42,68,98
107.jpg,640,480,missingPerson,206,287,238,322
155.jpg,640,480,missingPerson,593,340,640,377
333.jpg,640,480,missingPerson,57,347,116,387
126.jpg,640,480,missingPerson,357,69,394,124
126.jpg,640,480,missingPerson,11,421,81,480
113.jpg,640,480,missingPerson,209,161,248,199
12.jpg,640,480,missingPerson,128,150,194,189
138.jpg,640,480,missingPerson,1,58,54,99
308.jpg,640,480,missingPerson,335,4,365,72
142.jpg,640,480,missingPerson,42,110,106,152
hanam79.jpg,640,480,missingPerson,298,308,322,345
328.jpg,640,480,missingPerson,448,67,495,119
LandscapeMap.0043.jpg,640,480,missingPerson,280,346,319,385
LandscapeMap.0027.jpg,640,480,missingPerson,328,255,369,305
LandscapeMap.0166.jpg,640,480,missingPerson,202,264,259,316
30.jpg,640,480,missingPerson,272,1,309,45
hanam289.jpg,640,480,missingPerson,60,60,112,107
229.jpg,640,480,missingPerson,409,353,444,394
hanam292.jpg,640,480,missingPerson,358,150,389,182
165.jpg,640,480,missingPerson,196,428,231,480
148.jpg,640,480,missingPerson,150,198,198,239
223.jpg,640,480,missingPerson,339,31,379,82
123.jpg,640,480,missingPerson,312,132,341,171
179.jpg,640,480,missingPerson,253,168,291,202
203.jpg,640,480,missingPerson,177,172,220,210
302.jpg,640,480,missingPerson,161,280,204,321
182.jpg,640,480,missingPerson,257,54,293,105
222.jpg,640,480,missingPerson,313,11,366,69
230.jpg,640,480,missingPerson,269,355,299,389
332.jpg,640,480,missingPerson,43,328,102,369
28.jpg,640,480,missingPerson,545,310,625,364
215.jpg,640,480,missingPerson,503,277,558,321
112.jpg,640,480,missingPerson,14,289,64,322
161.jpg,640,480,missingPerson,299,379,334,421
2_45.jpg,640,480,missingPerson,347,119,374,160
24.jpg,640,480,missingPerson,5,95,50,130
129.jpg,640,480,missingPerson,63,379,125,437
38.jpg,640,480,missingPerson,393,329,423,367
249.jpg,640,480,missingPerson,573,436,635,480
218.jpg,640,480,missingPerson,67,143,115,173
hanam148.jpg,640,480,missingPerson,306,186,325,223
hanam291.jpg,640,480,missingPerson,277,369,305,424
232.jpg,640,480,missingPerson,308,382,335,422
2_11.jpg,640,480,missingPerson,370,90,415,140
302.jpg,640,480,missingPerson,19,252,82,280
143.jpg,640,480,missingPerson,487,112,548,154
LandscapeMap.0181.jpg,640,480,missingPerson,214,324,261,384
hanam156.jpg,640,480,missingPerson,345,416,375,474
321.jpg,640,480,missingPerson,148,331,204,370
LandscapeMap.0062.jpg,640,480,missingPerson,369,103,406,149
182.jpg,640,480,missingPerson,448,53,508,117
hanam146.jpg,640,480,missingPerson,341,89,365,137
324.jpg,640,480,missingPerson,388,3,417,66
107.jpg,640,480,missingPerson,14,384,65,428
124.jpg,640,480,missingPerson,152,109,194,142
116.jpg,640,480,missingPerson,191,259,226,296
329.jpg,640,480,missingPerson,459,87,517,130
38.jpg,640,480,missingPerson,230,316,256,347
158.jpg,640,480,missingPerson,80,414,145,479
346.jpg,640,480,missingPerson,354,319,386,360
304.jpg,640,480,missingPerson,264,93,297,137
2_3.jpg,640,480,missingPerson,424,347,540,480
130.jpg,640,480,missingPerson,78,360,143,417
hanam10.jpg,640,480,missingPerson,601,7,637,45
32.jpg,640,480,missingPerson,304,7,345,64
331.jpg,640,480,missingPerson,62,108,125,156
244.jpg,640,480,missingPerson,402,418,446,475
327.jpg,640,480,missingPerson,3,49,74,98
295.jpg,640,480,missingPerson,209,276,245,312
hanam74.jpg,640,480,missingPerson,200,89,243,133
